,일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),최대 풍속(m/s),평균 풍속(m/s),평균 상대습도(%),일 최심신적설(cm),일 최심적설(cm),1시간평균 미세먼지농도(㎍/㎥),y,개봉편수_kor,상영편수_kor,매출액_kor,관객수_kor,점유율_kor,개봉편수_for,상영편수_for,매출액_for,관객수_for,점유율_for,개봉편수_all,상영편수_all,매출액_all,관객수_all,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2018-01-20,1.2842105263157892,-3.844210526315788,7.565263157894734,0.0,4.089473684210527,1.4578947368421065,64.48947368421054,0.0,0.0,73.99208860759494,0.0,0.0,23.0,"5,185,645,648","615,954",48.10%,0.0,52.0,"5,547,126,635","664,917",51.90%,0.0,75.0,"10,732,772,283","1,280,871",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2018-01-21,1.3115789473684207,-3.8715789473684206,7.481052631578948,0.0,3.4315789473684193,1.1915789473684208,60.866315789473695,0.0,0.0,60.35294117647059,0.0,0.0,26.0,"4,859,662,600","578,595",48.80%,0.0,55.0,"5,055,412,800","608,086",51.20%,0.0,81.0,"9,915,075,400","1,186,681",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2018-01-22,2.971578947368421,-0.5410526315789471,7.477894736842104,1.304210526315789,6.0884210526315785,2.0263157894736845,65.28210526315793,0.1463157894736842,0.1463157894736842,42.56240369799692,0.0,1.0,27.0,"1,571,629,100","207,824",51.50%,0.0,50.0,"1,483,313,100","195,857",48.50%,1.0,77.0,"3,054,942,200","403,681",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2018-01-23,-6.051578947368421,-9.615789473684211,0.9536842105263157,0.06421052631578947,7.265263157894737,4.091578947368419,48.290526315789506,0.046315789473684206,0.17052631578947372,21.779160186625194,0.0,1.0,27.0,"1,585,247,700","210,219",51.70%,1.0,58.0,"1,472,570,900","196,435",48.30%,2.0,85.0,"3,057,818,600","406,654",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2018-01-24,-9.991578947368417,-13.110526315789471,-6.069473684210527,0.20631578947368423,6.877894736842104,3.4600000000000013,41.97684210526318,0.30315789473684207,0.4,21.806015037593983,0.0,5.0,27.0,"1,537,700,100","203,559",52.20%,4.0,63.0,"1,397,108,500","186,699",47.80%,9.0,90.0,"2,934,808,600","390,258",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2018-01-25,-9.457894736842103,-13.44421052631579,-4.82,0.08736842105263157,6.134736842105263,3.2915789473684223,44.39157894736845,0.1368421052631579,0.4368421052631579,18.76388888888889,0.0,7.0,27.0,"1,528,716,800","202,184",51.70%,20.0,67.0,"1,398,561,100","188,730",48.30%,27.0,94.0,"2,927,277,900","390,914",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2018-01-26,-9.918947368421057,-13.54736842105263,-5.118947368421052,0.14736842105263154,5.967368421052631,3.311578947368422,46.86736842105267,0.25157894736842107,0.6073684210526316,21.21518987341772,0.0,0.0,28.0,"1,917,304,824","228,399",52.40%,6.0,67.0,"1,711,064,481","207,427",47.60%,6.0,95.0,"3,628,369,305","435,826",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2018-01-27,-6.658947368421051,-14.096842105263166,0.5799999999999997,0.004210526315789474,4.23894736842105,1.689473684210526,46.53684210526318,0.00631578947368421,0.5631578947368422,27.228706624605678,0.0,0.0,27.0,"4,279,740,438","506,762",52.00%,0.0,63.0,"3,873,572,400","468,507",48.00%,0.0,90.0,"8,153,312,838","975,269",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2018-01-28,-2.503157894736843,-5.678947368421053,1.957894736842105,0.06736842105263158,6.148421052631579,2.825263157894736,42.64421052631581,0.005263157894736842,0.4263157894736842,24.74884437596302,0.0,0.0,26.0,"4,147,185,200","492,382",53.10%,0.0,60.0,"3,576,502,500","434,345",46.90%,0.0,86.0,"7,723,687,700","926,727",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2018-01-29,-5.6968421052631575,-9.06947368421053,-1.4915789473684218,0.15473684210526317,6.622105263157896,3.109473684210527,47.88631578947372,0.19578947368421054,0.5389473684210526,33.22205438066465,0.0,1.0,28.0,"1,394,728,300","186,720",57.50%,0.0,60.0,"1,037,176,200","138,112",42.50%,1.0,88.0,"2,431,904,500","324,832",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
